alpha_0,sigma_0,rho_0,eta_0,mu_0,lambda_0,phi_L_0,phi_H_0,alpha,sigma,rho,eta,mu,lambda,phi_L,phi_H,fit_rr,fit_wbr,fit_lbr,fit_sp,obj_val,tol
0.22,0.5,-0.5,0.3,0.25,0.25,2.0,2.0,0.2936687661602929,0.6511509485359888,-0.5095266346127214,0.3,0.17542312563811208,0.3340450620952387,1.483594395301127,2.0,201.5940046866078,192.42938433655257,0.25134675290961556,1724.7667333456855,1.8874910345980658,0.5
0.22,0.5,-0.5,0.3,0.25,0.25,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,-0.5,-1.0,0.3,0.25,0.25,2.0,2.0,0.28852225535533277,-0.6555465366889256,-0.8465750068939653,0.3,0.14571334254274315,0.3251718106925688,2.3048330815256977,2.0,320.2189978970958,3284.360915319277,0.35501421901315416,36528.419949364055,6.97018134944139,0.5
0.22,-0.5,-1.0,0.3,0.25,0.25,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,0.1,-1.0,0.3,0.25,0.25,2.0,2.0,0.2869388981185421,0.2688620144065685,-0.5687672033962045,0.3,0.47445048527059425,0.455480962269966,2.5440493091848144,2.0,109.10492145053367,0.010124334074852174,0.11974425904840108,0.1136721040916914,-2.21326924348416,0.5
0.22,0.1,-1.0,0.3,0.25,0.25,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,0.5,-1.0,0.3,0.25,0.25,2.0,2.0,0.2951980930212327,0.6518344319891126,-0.5989616369748324,0.3,0.185902432728428,0.3573273555187748,2.0654224278851867,2.0,169.38632221946392,61.14720046864048,0.21191590717834138,538.9252063617678,1.0830929586305766,0.5
0.22,0.5,-1.0,0.3,0.25,0.25,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,-0.5,0.5,0.3,0.25,0.25,2.0,2.0,0.28863681337624914,-0.6301558031238655,0.6740650688683033,0.3,0.35975066715682413,0.14956846693682285,0.7805351949901908,2.0,31.539817828299594,17.388422788530296,0.059013290703292566,240.44844432677598,-1.9065540423168976,0.5
0.22,-0.5,0.5,0.3,0.25,0.25,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
