BEA_CODE,YEAR,REL_P_EQ_DEVIATION
321,1993,1.0854066016101898
321,1994,1.0998976402704284
321,1995,1.1266361837933743
321,1996,1.1622209067977256
321,1997,1.1959982631372865
321,1998,1.2444286177551578
321,1999,1.2890169484143477
321,2000,1.3125126600067605
321,2001,1.346740909545113
321,2002,1.3734356584523608
321,2003,1.4179470483173235
321,2004,1.4635924546717443
321,2005,1.4984943270553994
321,2006,1.5394816519144472
321,2007,1.5838870708100956
321,2008,1.6335306903534124
321,2009,1.6667997700926558
321,2010,1.7000943901104655
321,2011,1.7306129805880965
321,2012,1.7600592182274999
321,2013,1.7793875260902112
321,2014,1.803267674775624
321,2015,1.8230261478582486
321,2016,1.8463772626172432
321,2017,1.8701839430518141
321,2018,1.8946159472751247
321,2019,1.922186625497494
321,2020,1.9427850905301585
321,2021,1.9676661397543054
321,2022,1.979850709283659
321,2023,2.00229837426061
321,2024,2.01011452762071
327,1947,1.0230208142169352
327,1948,1.027893205316766
327,1949,1.0487622220451291
327,1950,1.0515510794071534
327,1951,1.0709748933573604
327,1952,1.0722370427989163
327,1953,1.0752328126548352
327,1954,1.082719610926981
327,1955,1.1136466072272393
327,1956,1.1367390893474663
327,1957,1.1482405320573026
327,1958,1.1591031850627627
327,1959,1.1633294727476264
327,1960,1.167736090776601
327,1961,1.1704998725279492
327,1962,1.173662200271239
327,1963,1.175938877914568
327,1964,1.177171981290128
327,1965,1.186799737862183
327,1966,1.1928016700521624
327,1967,1.2001945710013968
327,1968,1.2094862595876588
327,1969,1.2155919548858563
327,1970,1.2259437927904842
327,1971,1.2325624069391357
327,1972,1.2332236995044275
327,1973,1.2366656088903833
327,1974,1.227536400413882
327,1975,1.2283765272969878
327,1976,1.2117837489409136
327,1977,1.2004625500611354
327,1978,1.1056317732973802
327,1979,1.0770106702841837
327,1980,1.022764941603811
327,1981,0.9875771968707704
327,1982,0.9683834720774762
327,1983,0.9754308758514121
327,1984,0.9796361773753328
327,1985,0.9825197547168425
327,1986,0.9911488302899247
327,1987,1.0
327,1988,1.0076596829068882
327,1989,1.0100332267076921
327,1990,1.0198859608881834
327,1991,1.0270583695251705
327,1992,1.0343149650021721
327,1993,1.0436609131697485
327,1994,1.0553073959944004
327,1995,1.0766116072646443
327,1996,1.104960655666765
327,1997,1.133925198101675
327,1998,1.1775741542471267
327,1999,1.2179987648482573
327,2000,1.2411786385821157
327,2001,1.275090716299183
327,2002,1.3052804442255643
327,2003,1.3488660437757192
327,2004,1.3946055307692837
327,2005,1.4366425195181873
327,2006,1.4813678817325673
327,2007,1.5223126249180963
327,2008,1.5735766158645892
327,2009,1.6144824084482485
327,2010,1.6447218994099915
327,2011,1.6755105553188274
327,2012,1.7110968325866387
327,2013,1.7333465780095672
327,2014,1.7576010992257705
327,2015,1.7783939856832287
327,2016,1.7987042330660015
327,2017,1.8192272592405212
327,2018,1.8486152053637424
327,2019,1.8804657053296607
327,2020,1.8956025894563229
327,2021,1.9313419866144579
327,2022,1.966214813378551
327,2023,1.9951304408999009
327,2024,2.0060486184044013
331,1947,0.8004528221147786
331,1948,0.8052199634643156
331,1949,0.809179301202633
331,1950,0.8210168990322048
331,1951,0.8457681212679384
331,1952,0.8400717325134397
331,1953,0.8496565222302369
331,1954,0.8519812893444428
331,1955,0.8645416232221734
331,1956,0.8949994934014445
331,1957,0.9054441186874711
331,1958,0.9028849893154506
331,1959,0.9036574395270318
331,1960,0.9131236031775205
331,1961,0.9067641003240766
331,1962,0.9062392918323218
331,1963,0.9015530011116154
331,1964,0.8988383772694539
331,1965,0.9020391363082251
331,1966,0.9040705329030867
331,1967,0.9101885977834365
